tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls
467847936508826000,,,2014-05-18 02:03:34 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sugar snap peas http://t.co/cOeJEYABY8,,,,https://twitter.com/mizhnev/status/467847936508825600/photo/1
467957735321919000,,,2014-05-18 09:19:52 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2 sprouted-grain toasts + margarine: 1 w/ tomato + pepper, 1 w/ roasted garlic hummus + old cheddar + pepper http://t.co/v06r6t2DRw",,,,https://twitter.com/mizhnev/status/467957735321919488/photo/1
467977352777974000,,,2014-05-18 10:37:50 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",strong instant coffee + half&amp;half http://t.co/ZWt85aZBcS,,,,https://twitter.com/mizhnev/status/467977352777973760/photo/1
468143516690817000,,,2014-05-18 20:38:06 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",coffee + cream + saladfood + bread + cheese + tofu + soybacon etc. ,,,,
468142772034081000,,,2014-05-18 21:35:09 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",some unsweetened vanilla almond milk directly from the thing http://t.co/Hc4B8gefHv,,,,https://twitter.com/mizhnev/status/468142772034080768/photo/1
468142921129017000,,,2014-05-18 21:35:44 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",green banana http://t.co/WXaey4Ib56,,,,https://twitter.com/mizhnev/status/468142921129017344/photo/1
468258859404915000,,,2014-05-19 05:16:26 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",chugging unsweetened vanilla almond milk right outta the carton http://t.co/euOu44JoOG,,,,https://twitter.com/mizhnev/status/468258859404914690/photo/1
468259084689367000,,,2014-05-19 05:17:20 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",green banana http://t.co/o9ZG8PcV36,,,,https://twitter.com/mizhnev/status/468259084689367040/photo/1
468361117966672000,,,2014-05-19 12:02:46 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",orange juice (200 mL) http://t.co/fxmY7avxOa,,,,https://twitter.com/mizhnev/status/468361117966671873/photo/1
468459481790042000,,,2014-05-19 18:33:38 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",banana http://t.co/RJ9WSyq4Ep,,,,https://twitter.com/mizhnev/status/468459481790042114/photo/1
